"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"409452"	"100577607"	"100577456"	"409452"	"411207"		"724717"				"100576422"
"410567"	"100576773"	"411846"	"410567"	"411253"		"724765"				"100576425"
"727101"	"408544"	"409095"	"727101"	"411272"		"724779"				"100576428"
"408981"	"725146"	"725325"	"408981"	"411303"		"724847"				"100576432"
"100577530"	"551428"	"408453"	"100577530"	"411387"		"724865"				"100576433"
"725844"	"100577112"	"412475"	"725844"	"411452"		"724899"				"100576434"
"412069"	"727037"	"107966053"	"412069"	"411609"		"724907"				"100576435"
"551028"	"100577346"	"724907"	"551028"	"411622"		"724919"				"100576436"
"725754"	"552100"	"725997"	"725754"	"411691"		"724951"				"100576438"
"408421"	"100576270"	"100577198"	"408421"	"411699"		"724971"				"100576439"
"726210"	"100578524"	"725026"	"726210"	"411813"		"724993"				"100576446"
"409932"	"100577017"	"552478"	"409932"	"411846"		"725026"				"100576447"
"102654166"	"411609"	"551879"	"102654166"	"411863"		"725031"				"100576449"
"725784"	"100578341"	"100576135"	"725784"	"411894"		"725038"				"100576453"
"408953"	"408444"	"724275"	"408953"	"411978"		"725098"				"100576454"
"410271"	"727254"	"724851"	"410271"	"411983"		"725146"				"100576457"
"408859"	"550677"	"406152"	"408859"	"412163"		"725204"				"100576458"
"409640"	"409490"	"410271"	"409640"	"412166"		"725258"				"100576461"
"726423"	"552512"	"724120"	"726423"	"412304"		"725290"				"100576462"
"725926"	"107964024"	"408742"	"725926"	"412475"		"725325"				"100576467"
"100576249"	"411387"	"408329"	"100576249"	"412602"		"725343"				"100576471"
"100578051"	"412788"	"413789"	"100578051"	"412663"		"725382"				"100576472"
"409736"	"724776"	"100578665"	"409736"	"412694"		"725489"				"100576476"
"408697"	"113218956"	"410975"	"408697"	"412763"		"725578"				"100576480"
"408871"	"408453"	"726040"	"408871"	"412788"		"725720"				"100576482"
"410896"	"408474"	"409697"	"410896"	"412827"		"725997"				"100576484"
"409712"	"411691"	"408470"	"409712"	"412859"		"726210"				"100576487"
"410179"	"102656088"	"413350"	"410179"	"413000"		"726228"				"100576488"
"413906"	"409095"	"413583"	"413906"	"413112"		"726251"				"100576492"
"100578515"	"412827"	"725775"	"100578515"	"413186"		"726423"				"100576497"
"412859"	"551579"	"409045"	"412859"	"413264"		"726441"				"100576498"
"408572"	"409602"	"411317"	"408572"	"413560"		"726690"				"100576502"
"100577002"	"410751"	"411301"	"100577002"	"413679"		"726750"				"100576504"
"551280"	"551806"	"724765"	"551280"	"413749"		"726798"				"100576505"
"409203"	"552712"	"102653658"	"409203"	"413763"		"726860"				"100576506"
"408742"	"726970"	"724640"	"408742"	"413785"		"726887"				"100576508"
"410278"	"410228"	"113219358"	"410278"	"413789"		"726981"				"100576512"
"725290"	"552728"		"725290"	"413867"		"727007"				"100576514"
"409109"	"100576307"		"409109"	"413868"		"727101"				"100576515"
"406152"	"726247"		"406152"	"413995"		"727254"				"100576519"
"413025"	"725776"		"413025"	"413997"		"768250"				"100576522"
"550998"	"410788"		"550998"	"550659"						"100576527"
"100578121"	"410092"		"100578121"	"550671"						"100576528"
