"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"BPvEBO_up"	"BPvEBO_down"	"background"
			"411100"									"100577239"
			"102655243"									"100577242"
			"100578467"									"100577250"
			"412602"									"100577252"
			"413867"									"100577253"
			"725483"									"100577254"
			"113218716"									"100577257"
			"552493"									"100577263"
			"552503"									"100577264"
			"107964035"									"100577268"
			"724188"									"100577269"
			"726886"									"100577272"
			"410059"									"100577273"
			"551710"									"100577279"
			"726586"									"100577280"
			"100576151"									"100577283"
			"725274"									"100577285"
			"550956"									"100577288"
			"550659"									"100577291"
			"551552"									"100577293"
			"724536"									"100577295"
			"725938"									"100577296"
			"412574"									"100577300"
			"100576600"									"100577302"
			"725388"									"100577306"
			"411976"									"100577307"
			"727479"									"100577308"
			"412169"									"100577309"
			"552402"									"100577320"
			"411167"									"100577322"
			"726373"									"100577324"
			"726445"									"100577325"
			"552095"									"100577332"
			"410216"									"100577334"
			"409942"									"100577335"
			"409105"									"100577336"
			"100577214"									"100577341"
			"406153"									"100577342"
			"408922"									"100577343"
			"100578563"									"100577344"
			"552139"									"100577346"
			"413407"									"100577347"
			"411420"									"100577348"
			"411361"									"100577351"
			"102655751"									"100577358"
			"411047"									"100577363"
			"408714"									"100577364"
			"726710"									"100577367"
			"410905"									"100577369"
