"","Phero_genes","Food_genes","interxn_genes","allDEG","Food_down","Food_up","EBO_down","EBO_up","BP_up","BP_down","BPvEBO_up","BPvEBO_down","background"
"206","551765","408965",NA,"551765","725008",NA,NA,NA,NA,NA,NA,"725008","100576646"
"207","409816","552811",NA,"409816","725026",NA,NA,NA,NA,NA,NA,"725026","100576647"
"208","410092","413186",NA,"410092","725031",NA,NA,NA,NA,NA,NA,"725031","100576649"
"209","725038","100577980",NA,"725038","725038",NA,NA,NA,NA,NA,NA,"725038","100576657"
"210","410236","725414",NA,"410236","725074",NA,NA,NA,NA,NA,NA,"725074","100576660"
"211","410788","552028",NA,"410788","725146",NA,NA,NA,NA,NA,NA,"725146","100576661"
"212","409228","726818",NA,"409228","725202",NA,NA,NA,NA,NA,NA,"725202","100576663"
"213","552712","551553",NA,"552712","725245",NA,NA,NA,NA,NA,NA,"725245","100576666"
"214","551950","406152",NA,"551950","725258",NA,NA,NA,NA,NA,NA,"725258","100576667"
"215","100315677","724756",NA,"100315677","725274",NA,NA,NA,NA,NA,NA,"725274","100576669"
"216","100577504","409124",NA,"100577504","725305",NA,NA,NA,NA,NA,NA,"725305","100576671"
"217","100576508","100578113",NA,"100576508","725325",NA,NA,NA,NA,NA,NA,"725325","100576679"
"218","412815","552799",NA,"412815","725343",NA,NA,NA,NA,NA,NA,"725343","100576681"
"219","552286","413997",NA,"552286","725382",NA,NA,NA,NA,NA,NA,"725382","100576683"
"220","100578659","100578121",NA,"100578659","725414",NA,NA,NA,NA,NA,NA,"725414","100576687"
"221","412101","551005",NA,"412101","725462",NA,NA,NA,NA,NA,NA,"725462","100576690"
"222","726690","411100",NA,"726690","725483",NA,NA,NA,NA,NA,NA,"725483","100576696"
"223","100577693","102655243",NA,"100577693","725489",NA,NA,NA,NA,NA,NA,"725489","100576699"
"224","551758","100578467",NA,"551758","725500",NA,NA,NA,NA,NA,NA,"725500","100576700"
"225","410288","412602",NA,"410288","725606",NA,NA,NA,NA,NA,NA,"725606","100576703"
"226","412163","413867",NA,"412163","725688",NA,NA,NA,NA,NA,NA,"725688","100576706"
"227","100577192","725483",NA,"100577192","725776",NA,NA,NA,NA,NA,NA,"725776","100576708"
"228","551223","409368",NA,"551223","725922",NA,NA,NA,NA,NA,NA,"725922","100576709"
"229","408551","413785",NA,"408551","726126",NA,NA,NA,NA,NA,NA,"726126","100576717"
"230","406067","113218716",NA,"406067","726205",NA,NA,NA,NA,NA,NA,"726205","100576718"
"231","550686","552493",NA,"550686","726247",NA,NA,NA,NA,NA,NA,"726247","100576722"
